**ACTUATORS**
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZN001:ROOF001W;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZN001:WALL001E;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZN001:WALL001E;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZN001:WALL002;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZN001:WALL002;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZN001:WALL003E;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZN001:WALL003E;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZN002:PARTITON001;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZN002:PARTITON001;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZN001:FLR001E;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZN001:FLR001E;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZN001:ROOF001E;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZN001:ROOF001E;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,PZN001:WALL001W;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,PZN001:WALL001W;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,PZN001:WALL003W;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,PZN001:WALL003W;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,PZN001:WALL004;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,PZN001:WALL004;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,PZN001:PARTITON001;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,PZN001:PARTITON001;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,PZN001:FLR001W;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,PZN001:FLR001W;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,PZN001:CEILINGW;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,PZN001:CEILINGW;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,PZN001:WALL001E;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,PZN001:WALL001E;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,PZN001:WALL002;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,PZN001:WALL002;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,PZN001:WALL003E;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,PZN001:WALL003E;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,PZN002:PARTITON001;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,PZN002:PARTITON001;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,PZN001:FLR001E;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,PZN001:FLR001E;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,PZN001:CEILINGE;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,PZN001:CEILINGE;
Actuator,Surface,Construction State,ZN001:WALL001W;
Actuator,Surface,Construction State,ZN001:WALL003W;
Actuator,Surface,Construction State,ZN001:WALL004;
Actuator,Surface,Construction State,ZN001:PARTITON001;
Actuator,Surface,Construction State,ZN001:FLR001W;
Actuator,Surface,Construction State,ZN001:ROOF001W;
Actuator,Surface,Construction State,ZN001:WALL001E;
Actuator,Surface,Construction State,ZN001:WALL002;
Actuator,Surface,Construction State,ZN001:WALL003E;
Actuator,Surface,Construction State,ZN002:PARTITON001;
Actuator,Surface,Construction State,ZN001:FLR001E;
Actuator,Surface,Construction State,ZN001:ROOF001E;
Actuator,Surface,Construction State,PZN001:WALL001W;
Actuator,Surface,Construction State,PZN001:WALL003W;
Actuator,Surface,Construction State,PZN001:WALL004;
Actuator,Surface,Construction State,PZN001:PARTITON001;
Actuator,Surface,Construction State,PZN001:FLR001W;
Actuator,Surface,Construction State,PZN001:CEILINGW;
Actuator,Surface,Construction State,PZN001:WALL001E;
Actuator,Surface,Construction State,PZN001:WALL002;
Actuator,Surface,Construction State,PZN001:WALL003E;
Actuator,Surface,Construction State,PZN002:PARTITON001;
Actuator,Surface,Construction State,PZN001:FLR001E;
Actuator,Surface,Construction State,PZN001:CEILINGE;
Actuator,Surface,View Factor To Ground,ZN001:WALL001W;
Actuator,Surface,Outdoor Air Drybulb Temperature,ZN001:WALL001W;
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZN001:WALL001W;
Actuator,Surface,Outdoor Air Wind Speed,ZN001:WALL001W;
Actuator,Surface,Outdoor Air Wind Direction,ZN001:WALL001W;
Actuator,Surface,View Factor To Ground,ZN001:WALL003W;
Actuator,Surface,Outdoor Air Drybulb Temperature,ZN001:WALL003W;
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZN001:WALL003W;
Actuator,Surface,Outdoor Air Wind Speed,ZN001:WALL003W;
Actuator,Surface,Outdoor Air Wind Direction,ZN001:WALL003W;
Actuator,Surface,View Factor To Ground,ZN001:WALL004;
Actuator,Surface,Outdoor Air Drybulb Temperature,ZN001:WALL004;
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZN001:WALL004;
Actuator,Surface,Outdoor Air Wind Speed,ZN001:WALL004;
Actuator,Surface,Outdoor Air Wind Direction,ZN001:WALL004;
Actuator,Surface,View Factor To Ground,ZN001:ROOF001W;
Actuator,Surface,Outdoor Air Drybulb Temperature,ZN001:ROOF001W;
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZN001:ROOF001W;
Actuator,Surface,Outdoor Air Wind Speed,ZN001:ROOF001W;
Actuator,Surface,Outdoor Air Wind Direction,ZN001:ROOF001W;
Actuator,Surface,View Factor To Ground,ZN001:WALL001E;
Actuator,Surface,Outdoor Air Drybulb Temperature,ZN001:WALL001E;
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZN001:WALL001E;
Actuator,Surface,Outdoor Air Wind Speed,ZN001:WALL001E;
Actuator,Surface,Outdoor Air Wind Direction,ZN001:WALL001E;
Actuator,Surface,View Factor To Ground,ZN001:WALL002;
Actuator,Surface,Outdoor Air Drybulb Temperature,ZN001:WALL002;
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZN001:WALL002;
Actuator,Surface,Outdoor Air Wind Speed,ZN001:WALL002;
Actuator,Surface,Outdoor Air Wind Direction,ZN001:WALL002;
Actuator,Surface,View Factor To Ground,ZN001:WALL003E;
Actuator,Surface,Outdoor Air Drybulb Temperature,ZN001:WALL003E;
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZN001:WALL003E;
Actuator,Surface,Outdoor Air Wind Speed,ZN001:WALL003E;
Actuator,Surface,Outdoor Air Wind Direction,ZN001:WALL003E;
Actuator,Surface,View Factor To Ground,ZN001:ROOF001E;
Actuator,Surface,Outdoor Air Drybulb Temperature,ZN001:ROOF001E;
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZN001:ROOF001E;
Actuator,Surface,Outdoor Air Wind Speed,ZN001:ROOF001E;
Actuator,Surface,Outdoor Air Wind Direction,ZN001:ROOF001E;
Actuator,Surface,View Factor To Ground,PZN001:WALL001W;
Actuator,Surface,Outdoor Air Drybulb Temperature,PZN001:WALL001W;
Actuator,Surface,Outdoor Air Wetbulb Temperature,PZN001:WALL001W;
Actuator,Surface,Outdoor Air Wind Speed,PZN001:WALL001W;
Actuator,Surface,Outdoor Air Wind Direction,PZN001:WALL001W;
Actuator,Surface,View Factor To Ground,PZN001:WALL003W;
Actuator,Surface,Outdoor Air Drybulb Temperature,PZN001:WALL003W;
Actuator,Surface,Outdoor Air Wetbulb Temperature,PZN001:WALL003W;
Actuator,Surface,Outdoor Air Wind Speed,PZN001:WALL003W;
Actuator,Surface,Outdoor Air Wind Direction,PZN001:WALL003W;
Actuator,Surface,View Factor To Ground,PZN001:WALL004;
Actuator,Surface,Outdoor Air Drybulb Temperature,PZN001:WALL004;
Actuator,Surface,Outdoor Air Wetbulb Temperature,PZN001:WALL004;
Actuator,Surface,Outdoor Air Wind Speed,PZN001:WALL004;
Actuator,Surface,Outdoor Air Wind Direction,PZN001:WALL004;
Actuator,Surface,View Factor To Ground,PZN001:WALL001E;
Actuator,Surface,Outdoor Air Drybulb Temperature,PZN001:WALL001E;
Actuator,Surface,Outdoor Air Wetbulb Temperature,PZN001:WALL001E;
Actuator,Surface,Outdoor Air Wind Speed,PZN001:WALL001E;
Actuator,Surface,Outdoor Air Wind Direction,PZN001:WALL001E;
Actuator,Surface,View Factor To Ground,PZN001:WALL002;
Actuator,Surface,Outdoor Air Drybulb Temperature,PZN001:WALL002;
Actuator,Surface,Outdoor Air Wetbulb Temperature,PZN001:WALL002;
Actuator,Surface,Outdoor Air Wind Speed,PZN001:WALL002;
Actuator,Surface,Outdoor Air Wind Direction,PZN001:WALL002;
Actuator,Surface,View Factor To Ground,PZN001:WALL003E;
Actuator,Surface,Outdoor Air Drybulb Temperature,PZN001:WALL003E;
Actuator,Surface,Outdoor Air Wetbulb Temperature,PZN001:WALL003E;
Actuator,Surface,Outdoor Air Wind Speed,PZN001:WALL003E;
Actuator,Surface,Outdoor Air Wind Direction,PZN001:WALL003E;
Actuator,Zone,Outdoor Air Drybulb Temperature,WEST ZONE;
Actuator,Zone,Outdoor Air Wetbulb Temperature,WEST ZONE;
Actuator,Zone,Outdoor Air Wind Speed,WEST ZONE;
Actuator,Zone,Outdoor Air Wind Direction,WEST ZONE;
Actuator,Zone,Outdoor Air Drybulb Temperature,EAST ZONE;
Actuator,Zone,Outdoor Air Wetbulb Temperature,EAST ZONE;
Actuator,Zone,Outdoor Air Wind Speed,EAST ZONE;
Actuator,Zone,Outdoor Air Wind Direction,EAST ZONE;
Actuator,Zone,Outdoor Air Drybulb Temperature,WEST PLENUM;
Actuator,Zone,Outdoor Air Wetbulb Temperature,WEST PLENUM;
Actuator,Zone,Outdoor Air Wind Speed,WEST PLENUM;
Actuator,Zone,Outdoor Air Wind Direction,WEST PLENUM;
Actuator,Zone,Outdoor Air Drybulb Temperature,EAST PLENUM;
Actuator,Zone,Outdoor Air Wetbulb Temperature,EAST PLENUM;
Actuator,Zone,Outdoor Air Wind Speed,EAST PLENUM;
Actuator,Zone,Outdoor Air Wind Direction,EAST PLENUM;
Actuator,Plant Loop Overall,On/Off Supervisory,CHILLED WATER LOOP;
Actuator,Supply Side Half Loop,On/Off Supervisory,CHILLED WATER LOOP;
Actuator,Demand Side Half Loop,On/Off Supervisory,CHILLED WATER LOOP;
Actuator,Demand Side Branch,On/Off Supervisory,CW DEMAND INLET BRANCH;
Actuator,Plant Component Pipe:Adiabatic,On/Off Supervisory,CW DEMAND SIDE INLET PIPE;
Actuator,Demand Side Branch,On/Off Supervisory,WEST CW COOLING COIL BRANCH;
Actuator,Plant Component Coil:Cooling:Water,On/Off Supervisory,WEST ZONE CW COOLING COIL;
Actuator,Demand Side Branch,On/Off Supervisory,EAST CW COOLING COIL BRANCH;
Actuator,Plant Component Coil:Cooling:Water,On/Off Supervisory,EAST ZONE CW COOLING COIL;
Actuator,Demand Side Branch,On/Off Supervisory,CW DEMAND BYPASS BRANCH;
Actuator,Plant Component Pipe:Adiabatic,On/Off Supervisory,CW DEMAND SIDE BYPASS PIPE;
Actuator,Demand Side Branch,On/Off Supervisory,CW DEMAND OUTLET BRANCH;
Actuator,Plant Component Pipe:Adiabatic,On/Off Supervisory,CW DEMAND SIDE OUTLET PIPE;
Actuator,Supply Side Branch,On/Off Supervisory,CW SUPPLY PUMP BRANCH;
Actuator,Plant Component Pump:VariableSpeed,On/Off Supervisory,CW CIRC PUMP;
Actuator,Supply Side Branch,On/Off Supervisory,CW SUPPLY CHILLER BRANCH;
Actuator,Plant Component Chiller:Electric,On/Off Supervisory,CHILLER;
Actuator,Supply Side Branch,On/Off Supervisory,CW SUPPLY BYPASS BRANCH;
Actuator,Plant Component Pipe:Adiabatic,On/Off Supervisory,CW SUPPLY SIDE BYPASS PIPE;
Actuator,Supply Side Branch,On/Off Supervisory,CW SUPPLY OUTLET BRANCH;
Actuator,Plant Component Pipe:Adiabatic,On/Off Supervisory,CW SUPPLY SIDE OUTLET PIPE;
Actuator,Plant Loop Overall,On/Off Supervisory,CONDENSER LOOP;
Actuator,Supply Side Half Loop,On/Off Supervisory,CONDENSER LOOP;
Actuator,Demand Side Half Loop,On/Off Supervisory,CONDENSER LOOP;
Actuator,Demand Side Branch,On/Off Supervisory,CONDENSER DEMAND INLET BRANCH;
Actuator,Plant Component Pipe:Adiabatic,On/Off Supervisory,CONDENSER DEMAND INLET PIPE;
Actuator,Demand Side Branch,On/Off Supervisory,CONDENSER DEMAND BYPASS BRANCH;
Actuator,Plant Component Pipe:Adiabatic,On/Off Supervisory,CONDENSER DEMAND BYPASS PIPE;
Actuator,Demand Side Branch,On/Off Supervisory,CONDENSER DEMAND CHILLER BRANCH;
Actuator,Demand Side Branch,On/Off Supervisory,CONDENSER DEMAND OUTLET BRANCH;
Actuator,Plant Component Pipe:Adiabatic,On/Off Supervisory,CONDENSER DEMAND OUTLET PIPE;
Actuator,Supply Side Branch,On/Off Supervisory,CONDENSER SUPPLY PUMP BRANCH;
Actuator,Plant Component Pump:VariableSpeed,On/Off Supervisory,COND CIRC PUMP;
Actuator,Supply Side Branch,On/Off Supervisory,CONDENSER SUPPLY TOWER BRANCH;
Actuator,Plant Component CoolingTower:VariableSpeed,On/Off Supervisory,COOLING TOWER;
Actuator,Supply Side Branch,On/Off Supervisory,CONDENSER SUPPLY BYPASS BRANCH;
Actuator,Plant Component Pipe:Adiabatic,On/Off Supervisory,CONDENSER SUPPLY BYPASS PIPE;
Actuator,Supply Side Branch,On/Off Supervisory,CONDENSER SUPPLY OUTLET BRANCH;
Actuator,Plant Component Pipe:Adiabatic,On/Off Supervisory,CONDENSER SUPPLY OUTLET PIPE;
Actuator,Sizing:Zone,Zone Design Heating Air Mass Flow Rate,WEST ZONE;
Actuator,Sizing:Zone,Zone Design Cooling Air Mass Flow Rate,WEST ZONE;
Actuator,Sizing:Zone,Zone Design Heating Load,WEST ZONE;
Actuator,Sizing:Zone,Zone Design Cooling Load,WEST ZONE;
Actuator,Sizing:Zone,Zone Design Heating Vol Flow,WEST ZONE;
Actuator,Sizing:Zone,Zone Design Cooling Vol Flow,WEST ZONE;
Actuator,Sizing:Zone,Zone Design Heating Air Mass Flow Rate,EAST ZONE;
Actuator,Sizing:Zone,Zone Design Cooling Air Mass Flow Rate,EAST ZONE;
Actuator,Sizing:Zone,Zone Design Heating Load,EAST ZONE;
Actuator,Sizing:Zone,Zone Design Cooling Load,EAST ZONE;
Actuator,Sizing:Zone,Zone Design Heating Vol Flow,EAST ZONE;
Actuator,Sizing:Zone,Zone Design Cooling Vol Flow,EAST ZONE;
Actuator,Zone Temperature Control,Heating Setpoint,WEST ZONE;
Actuator,Zone Temperature Control,Cooling Setpoint,WEST ZONE;
Actuator,Zone Temperature Control,Heating Setpoint,EAST ZONE;
Actuator,Zone Temperature Control,Cooling Setpoint,EAST ZONE;
**INTERNAL_VARIABLES**
InternalVariable,Plant Design Volume Flow Rate,CHILLED WATER LOOP
InternalVariable,Plant Design Volume Flow Rate,CONDENSER LOOP
InternalVariable,People Count Design Level,WEST ZONE PEOPLE
InternalVariable,People Count Design Level,EAST ZONE PEOPLE
InternalVariable,Lighting Power Design Level,WEST ZONE LIGHTS
InternalVariable,Lighting Power Design Level,EAST ZONE LIGHTS
InternalVariable,Plug and Process Power Design Level,WEST ZONE_MISCPLUG_EQUIP
InternalVariable,Plug and Process Power Design Level,EAST ZONE_MISCPLUG_EQUIP
InternalVariable,Zone Floor Area,WEST ZONE
InternalVariable,Zone Air Volume,WEST ZONE
InternalVariable,Zone Multiplier,WEST ZONE
InternalVariable,Zone List Multiplier,WEST ZONE
InternalVariable,Zone Floor Area,EAST ZONE
InternalVariable,Zone Air Volume,EAST ZONE
InternalVariable,Zone Multiplier,EAST ZONE
InternalVariable,Zone List Multiplier,EAST ZONE
InternalVariable,Zone Floor Area,WEST PLENUM
InternalVariable,Zone Air Volume,WEST PLENUM
InternalVariable,Zone Multiplier,WEST PLENUM
InternalVariable,Zone List Multiplier,WEST PLENUM
InternalVariable,Zone Floor Area,EAST PLENUM
InternalVariable,Zone Air Volume,EAST PLENUM
InternalVariable,Zone Multiplier,EAST PLENUM
InternalVariable,Zone List Multiplier,EAST PLENUM
InternalVariable,Final Zone Design Heating Air Mass Flow Rate,WEST ZONE
InternalVariable,Intermediate Zone Design Heating Air Mass Flow Rate,WEST ZONE
InternalVariable,Final Zone Design Cooling Air Mass Flow Rate,WEST ZONE
InternalVariable,Intermediate Zone Design Cooling Air Mass Flow Rate,WEST ZONE
InternalVariable,Final Zone Design Heating Load,WEST ZONE
InternalVariable,Intermediate Zone Design Heating Load,WEST ZONE
InternalVariable,Final Zone Design Cooling Load,WEST ZONE
InternalVariable,Intermediate Zone Design Cooling Load,WEST ZONE
InternalVariable,Final Zone Design Heating Air Density,WEST ZONE
InternalVariable,Intermediate Zone Design Heating Air Density,WEST ZONE
InternalVariable,Final Zone Design Cooling Air Density,WEST ZONE
InternalVariable,Intermediate Zone Design Cooling Air Density,WEST ZONE
InternalVariable,Final Zone Design Heating Volume Flow,WEST ZONE
InternalVariable,Intermediate Zone Design Heating Volume Flow,WEST ZONE
InternalVariable,Final Zone Design Cooling Volume Flow,WEST ZONE
InternalVariable,Intermediate Zone Design Cooling Volume Flow,WEST ZONE
InternalVariable,Zone Outdoor Air Design Volume Flow Rate,WEST ZONE
